"nome","data_inicio","escritorio","area","tipo","palavras_chaves","origem","iniciais_originadores","valor_da_transacao","valor_fee_sucesso","valor_fee_mensal","expectativa_fechamento","status_atual","data_conclusao_conforme_status","qtde_negocios_com_o_cliente","ult_interacao","interesse(target)"
negocio834,"02/05/2019",Araujo Fontes BH,Dívida Captação,Lead,,,MM,,,,,Concluído sem sucesso,,1,"16/05/2019",
negocio835,"02/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,GE,110000.00,,,"30/05/2019",Inativo,,1,"03/12/2019","5"
negocio836,"02/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,MA,,,,,Ativo,,3,"16/05/2019","4"
negocio837,"02/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,"MA,RC",,,,,Ativo,,3,"02/05/2019","2"
negocio838,"02/05/2019",Araujo Fontes BH,Seguros,Lead,,,MA,,,,,Ativo,,3,"05/06/2019","3"
negocio839,"02/05/2019",Araujo Fontes BH,Dívida Captação,Lead,,,BD,,,,,Concluído sem sucesso,,2,"05/06/2019","4"
negocio840,"02/05/2019",Araujo Fontes Goiânia,M&A Buy Side,Projeto,,,FP,15000000.00,150000.00,,"15/02/2021",Concluído sem sucesso,"03/09/2020",3,"03/09/2020","1"
negocio841,"06/05/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,LT,30000000.00,960000.00,360000.00,"30/04/2020",Concluído sem sucesso,,1,"13/05/2019","2"
negocio842,"05/05/2019",,Assessoria Estratégica,Proposta,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",3,"06/05/2019",
negocio843,"16/06/2019",Araujo Fontes BH,M&A Sell Side,Projeto,,,MB,100000000.00,2000000.00,100000.00,"30/03/2021",Concluído sem sucesso,"21/05/2021",1,"09/09/2020","1"
negocio844,"05/05/2019",,Assessoria Estratégica,Proposta,,,,,,,,Ativo,,2,"20/05/2019",
negocio845,"06/05/2019",Araujo Fontes BH,M&A Buy Side,Proposta,,,MA,40000000.00,1200000.00,,"31/03/2020",Concluído sem sucesso,,1,"05/06/2019","1"
negocio846,"06/05/2019",Araujo Fontes BH,Dívida Reperfilamento,Lead,,,MA,,,,"31/12/2019",Concluído sem sucesso,,2,"23/05/2019","3"
negocio848,"04/05/2019",Araujo Fontes BH,M&A Buy Side,Projeto,,,EF,5000000.00,100000.00,,"31/08/2019",Inativo,,2,"18/10/2019","3"
negocio849,"06/05/2019",Araujo Fontes Goiânia,Dívida Reperfilamento,Lead,,,FP,,,,,Concluído sem sucesso,"28/06/2019",4,"06/05/2019","2"
negocio850,"06/05/2019",Araujo Fontes Goiânia,Assessoria Estratégica,Lead,,,,,,,,Concluído sem sucesso,"06/01/2020",1,"06/05/2019","1"
negocio851,"05/05/2019",Araujo Fontes Goiânia,Assessoria Estratégica,Proposta,,,FP,,,,,Concluído sem sucesso,,1,"12/09/2019","3"
negocio852,"06/05/2019",Araujo Fontes Goiânia,Gestão de Recursos,Lead,,,FP,,,,,Concluído sem sucesso,,2,"13/09/2019","5"
negocio853,"05/05/2019",Araujo Fontes BH,M&A Buy Side,Proposta,,,MA,,,,"31/05/2019",Inativo,,1,"02/12/2019","3"
negocio854,"06/05/2019",Araujo Fontes Goiânia,Imobiliário,Lead,,,FP,,,,,Concluído sem sucesso,"10/06/2020",1,"06/05/2019",
negocio855,"05/05/2019",Araujo Fontes BH,Gestão de Recursos,Proposta,,,RC,,,,"31/07/2019",Concluído sem sucesso,,1,"28/10/2019","3"
negocio856,"05/05/2019",Araujo Fontes BH,Assessoria Estratégica,Proposta,,,MB,,,,,Concluído sem sucesso,,3,"06/06/2019","2"
negocio857,"06/05/2019",Araujo Fontes BH,Dívida Captação,Proposta,,,FB,100000000.00,1140000.00,,"30/11/2019",Concluído sem sucesso,"27/01/2020",6,"05/06/2019","1"
negocio858,"11/04/2019",Araujo Fontes BH,M&A Sell Side,Projeto,,,"AT,EF",20000000.00,240000.00,,"31/07/2020",Concluído com sucesso,"01/12/2020",4,"13/10/2020","3"
negocio859,"14/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,MA,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",1,"20/05/2019","4"
negocio861,"07/05/2019",Araujo Fontes BH,M&A Sell Side,Projeto,"alimentos,Suplementos",,"BD,EF",70000000.00,,40000.00,"29/01/2021",Ativo,,1,"17/01/2022","1"
negocio863,"07/05/2019",Araujo Fontes BH,Dívida Captação,Lead,,,PF,17000000.00,510000.00,,"31/10/2019",Concluído sem sucesso,,1,"01/07/2019","4"
negocio864,"10/04/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,,,,,"30/12/2020",Concluído sem sucesso,"23/01/2020",1,"30/05/2019","1"
negocio866,"07/05/2019",Araujo Fontes Goiânia,Assessoria Estratégica,Lead,,,FP,,,,,Concluído sem sucesso,"30/10/2020",1,"10/06/2020","3"
negocio867,"29/11/2018",Araujo Fontes BH,Consultoria,Projeto,,,LC,,,,,Concluído sem sucesso,"18/10/2021",6,"30/08/2019","5"
negocio868,"09/12/2018",Araujo Fontes BH,Consultoria,Projeto,,,LC,,,,,Inativo,,6,"08/05/2019","5"
negocio869,"06/05/2019",,Consultoria,Projeto,,,"EF,MA,PL",,,,,Concluído sem sucesso,"18/10/2021",6,"06/08/2019","5"
negocio870,"18/03/2019",Araujo Fontes BH,Consultoria,Projeto,,,FM,,,4500.00,,Concluído com sucesso,,1,"09/05/2019","1"
negocio871,"06/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,EF,,,,,Concluído com sucesso,,1,"24/05/2019","1"
negocio872,"09/05/2019",,M&A Sell Side,Lead,,,,,,,"14/11/2019",Concluído sem sucesso,"14/11/2019",1,"20/05/2019",
negocio873,"07/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,"FM,JM",,,,,Ativo,,6,"03/09/2019","1"
negocio874,"07/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,"FM,JM",,,,,Inativo,,6,"17/05/2019","1"
negocio875,"07/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,"DU,EF",,,,"30/04/2020",Concluído sem sucesso,"03/12/2019",6,"14/09/2019","5"
negocio876,"17/05/2019",,Assessoria Estratégica,Lead,,,"MA,MB",,,,,Ativo,,1,"05/06/2019",
negocio877,"08/05/2019",,Consultoria,Projeto,,,,,,,,Concluído com sucesso,"12/09/2019",2,"12/09/2019",
negocio879,"29/04/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,MA,,,,"31/05/2019",Concluído sem sucesso,,2,"10/05/2019","5"
negocio880,"10/05/2019",,M&A Sell Side,Pré-Lead,,,BD,,,,,Concluído sem sucesso,"15/04/2021",1,"26/06/2019",
negocio881,"10/05/2019",Araujo Fontes BH,Assessoria Estratégica,Lead,,,GE,,,,,Concluído sem sucesso,,1,"20/08/2019","2"
negocio882,"08/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,,,,,,Concluído sem sucesso,,1,"24/10/2019","5"
negocio883,"13/05/2019",Araujo Fontes BH,Consultoria,Projeto,,,EF,120000.00,,120000.00,"31/12/2020",Concluído com sucesso,"13/10/2020",1,"24/07/2020","2"
negocio884,"26/11/2018",Araujo Fontes BH,Consultoria,Projeto,,,JM,,,,"31/05/2019",Concluído com sucesso,"24/10/2019",1,"24/10/2019","2"
negocio885,"23/11/2018",Araujo Fontes BH,Consultoria,Projeto,,,EF,,,,,Ativo,,1,"05/01/2022","5"
negocio886,"01/08/2018",Araujo Fontes BH,Consultoria,Projeto,,,JM,,,5375.00,"12/04/2019",Concluído com sucesso,,1,"13/05/2019","5"
negocio887,"01/07/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,Gd,,,,"28/02/2020",Concluído sem sucesso,"30/01/2020",2,"30/01/2020","1"
negocio890,"15/05/2019",Araujo Fontes BH,Imobiliário,Lead,,,DU,,,,"31/12/2020",Concluído sem sucesso,"22/02/2021",3,"03/09/2019","5"
negocio891,"15/05/2019",Araujo Fontes BH,Assessoria Estratégica,Lead,,,EF,,,,,Concluído sem sucesso,"12/06/2020",2,"27/03/2020","2"
negocio892,"15/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"01/07/2019",Ativo,,2,"05/06/2019","3"
negocio893,"14/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"30/08/2019",Ativo,,1,"05/06/2019","3"
negocio894,"15/05/2019",,M&A Sell Side,Lead,,,EF,,,,,Ativo,,1,"26/11/2019",
negocio895,"15/05/2019",,Imobiliário,Pré-Lead,,,FP,,,,,Concluído sem sucesso,"10/06/2020",1,"15/05/2019",
negocio896,"16/05/2019",Araujo Fontes BH,M&A Sell Side,Lead,,,Gd,,,,,Concluído sem sucesso,"14/04/2020",2,"06/01/2020","1"
negocio897,"16/05/2019",,Dívida Captação,Lead,,,,,,,"28/06/2019",Concluído sem sucesso,"28/06/2019",2,"11/07/2019",
negocio898,"16/05/2019",Araujo Fontes BH,M&A Sell Side,Proposta,,,EF,20000000.00,600000.00,,,Concluído sem sucesso,,1,"09/12/2019","4"
negocio899,"16/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"30/08/2019",Ativo,,1,"21/01/2020","3"
negocio900,"16/05/2019",,Gestão de Recursos,Lead,,,,,,,,Ativo,,1,"03/12/2019",
negocio901,"17/05/2019",Araujo Fontes BH,Gestão de Recursos,Lead,,,RC,,,,"31/12/2019",Ativo,,1,"15/05/2020","2"
negocio902,"17/05/2019",,M&A Sell Side,Lead,,,Gd,,,,,Concluído sem sucesso,"30/01/2020",2,"27/06/2019",
negocio903,"20/05/2019",,Assessoria Estratégica,Pré-Lead,,,FP,,,,,Concluído sem sucesso,"10/06/2020",2,"20/05/2019",
